"","point","mean","low","high","time"
"1","model predict (95% CI)",0.694801343278933,0.444011371211601,1.17710778531699,1993
"2","model predict (95% CI)",0.528094769892509,0.344479626811275,0.927851146165973,1994
"3","model predict (95% CI)",0.78618796568406,0.435379375437953,1.52362436157827,1995
"4","model predict (95% CI)",0.876180281597973,0.482991982512066,1.59170010209449,1996
"5","model predict (95% CI)",0.90884511586984,0.542868516181253,1.54458394242877,1997
"6","model predict (95% CI)",0.92597145963024,0.613070297410766,1.37780890623371,1998
"7","model predict (95% CI)",0.883521644939084,0.597877867063184,1.30952771317357,1999
"8","model predict (95% CI)",0.759548096918542,0.477929781620918,1.15813066157441,2000
"9","model predict (95% CI)",0.795130639929809,0.522428556740125,1.23627232259267,2001
"10","model predict (95% CI)",0.795361459382418,0.544973821038955,1.16309486610255,2002
"11","model predict (95% CI)",0.731080012174186,0.381384045291126,1.24771873978627,2003
"12","model predict (95% CI)",0.937436857083456,0.582672626360201,1.45662886811232,2004
"13","model predict (95% CI)",0.943824260215989,0.531793283455621,1.56793471165028,2005
"14","model predict (95% CI)",1.36511491013093,0.546155939315502,2.88538945517869,2006
